date,dailyMeanST,dailyMinST,dailyMaxST,timeMinST,timeMaxST,siteID
2021-07-01,13.09,11.467,15.342,8:00,16:00,ORCUB001IN02
2021-07-02,12.615,11.005,14.84,8:00,16:00,ORCUB001IN02
2021-07-03,12.29,10.369,14.601,8:00,16:00,ORCUB001IN02
2021-07-04,12.18,10.296,14.481,8:00,16:00,ORCUB001IN02
2021-07-05,11.97,9.977,14.314,8:00,16:00,ORCUB001IN02
2021-07-06,11.981,9.952,14.29,8:00,16:00,ORCUB001IN02
2021-07-07,12.307,10.614,14.505,8:00,15:00,ORCUB001IN02
2021-07-08,11.873,10.051,14.074,8:00,16:00,ORCUB001IN02
2021-07-09,11.714,9.657,14.002,8:00,16:00,ORCUB001IN02
2021-07-10,12.173,10.345,14.505,8:00,16:00,ORCUB001IN02
2021-07-11,11.774,9.78,14.026,8:00,16:00,ORCUB001IN02
2021-07-12,11.541,9.534,13.81,8:00,16:00,ORCUB001IN02
2021-07-13,11.808,9.805,14.218,8:00,16:00,ORCUB001IN02
2021-07-14,12.075,10.345,14.218,8:00,16:00,ORCUB001IN02
2021-07-15,11.803,10.001,14.05,8:00,15:00,ORCUB001IN02
2021-07-16,11.426,9.583,13.618,8:00,16:00,ORCUB001IN02
2021-07-17,11.528,9.632,13.786,8:00,16:00,ORCUB001IN02
2021-07-18,11.761,9.829,13.978,8:00,16:00,ORCUB001IN02
2021-07-19,11.996,10.247,14.218,8:00,15:00,ORCUB001IN02
2021-07-20,11.693,9.903,13.882,8:00,16:00,ORCUB001IN02
2021-07-21,11.125,9.534,13.209,8:00,15:00,ORCUB001IN02
2021-07-22,10.46,8.494,12.606,8:00,16:00,ORCUB001IN02
2021-07-23,10.719,8.792,12.968,8:00,16:00,ORCUB001IN02
2021-07-24,11.274,9.238,13.642,8:00,16:00,ORCUB001IN02
2021-07-25,11.814,9.977,14.122,8:00,16:00,ORCUB001IN02
2021-07-26,11.635,9.829,13.69,8:00,16:00,ORCUB001IN02
2021-07-27,11.196,10.443,11.904,8:00,17:00,ORCUB001IN02
2021-07-28,11.732,10.051,13.978,7:00,16:00,ORCUB001IN02
2021-07-29,12.273,10.541,14.314,8:00,17:00,ORCUB001IN02
2021-07-30,12.28,11.029,13.377,8:00,17:00,ORCUB001IN02
2021-07-31,12.25,11.54,12.896,8:00,15:00,ORCUB001IN02
2021-08-01,12.954,11.37,15.27,8:00,15:00,ORCUB001IN02
2021-08-02,12.384,11.053,13.714,8:00,17:00,ORCUB001IN02
2021-08-03,12.631,10.98,14.649,8:00,16:00,ORCUB001IN02
2021-08-04,12.681,11.175,14.481,8:00,15:00,ORCUB001IN02
2021-08-05,11.953,10.956,13.161,8:00,14:00,ORCUB001IN02
2021-08-06,11.582,10.712,12.582,8:00,18:00,ORCUB001IN02
2021-08-07,12.117,10.369,14.314,8:00,15:00,ORCUB001IN02
2021-08-08,11.777,10.614,13.305,9:00,15:00,ORCUB001IN02
2021-08-09,10.943,9.04,13.016,8:00,15:00,ORCUB001IN02
2021-08-10,11.66,9.879,13.714,8:00,16:00,ORCUB001IN02
2021-08-11,12.459,10.638,14.649,8:00,15:00,ORCUB001IN02
2021-08-12,13.021,11.419,14.936,8:00,16:00,ORCUB001IN02
2021-08-13,12.87,11.419,14.385,8:00,16:00,ORCUB001IN02
2021-08-14,12.835,11.734,14.361,8:00,15:00,ORCUB001IN02
2021-08-15,12.379,11.2,13.618,8:00,16:00,ORCUB001IN02
2021-08-16,12.253,10.834,13.882,8:00,15:00,ORCUB001IN02
2021-08-17,10.911,10.173,12.171,23:00,0:00,ORCUB001IN02
2021-08-18,10.708,9.361,12.485,8:00,16:00,ORCUB001IN02
2021-08-19,10.953,9.608,12.582,8:00,15:00,ORCUB001IN02
2021-08-20,10.52,9.682,11.297,8:00,17:00,ORCUB001IN02
2021-08-21,10.408,9.829,11.321,7:00,15:00,ORCUB001IN02
2021-08-22,10.217,8.891,12.074,7:00,15:00,ORCUB001IN02
2021-08-23,9.834,8.394,11.443,9:00,15:00,ORCUB001IN02
2021-08-24,9.417,7.645,11.224,8:00,15:00,ORCUB001IN02
2021-08-25,9.454,7.995,10.785,8:00,16:00,ORCUB001IN02
2021-08-26,10.1,9.163,11.053,7:00,18:00,ORCUB001IN02
2021-08-27,10.579,9.608,12.219,9:00,14:00,ORCUB001IN02
2021-08-28,9.822,8.07,11.589,9:00,15:00,ORCUB001IN02
2021-08-29,9.768,8.369,11.053,9:00,17:00,ORCUB001IN02
2021-08-30,9.764,8.618,11.102,8:00,15:00,ORCUB001IN02
2021-08-31,9.454,8.369,10.883,8:00,15:00,ORCUB001IN02
