"siteID","startDate","endDate","totalDays","missingDays"
"2400469",2021-06-20,2021-10-03,106,0
"2400472",2021-06-21,2021-10-05,107,0
"2400473",2021-06-20,2021-10-01,104,0
"2400475",2021-06-21,2021-10-03,105,0
"9946236",2021-06-23,2021-10-02,102,0
"10332826",2020-12-31,2021-10-26,300,0
"10361309",2021-07-13,2021-10-26,106,0
"10361311",2021-05-19,2021-09-08,113,0
"10361312",2021-06-02,2021-09-07,98,0
"10389421",2021-06-30,2021-09-07,70,0
"10547224",2020-12-31,2021-10-22,296,0
"10598081",2020-06-23,2021-10-26,491,0
"10598088",2020-06-23,2021-10-26,444,47
"10745923",2021-06-19,2021-10-01,105,0
"10808788",2021-06-23,2021-10-02,102,0
"10808789",2021-06-24,2021-10-04,103,0
"10808797",2021-06-23,2021-10-02,102,0
"10808799",2021-06-30,2021-10-05,98,0
"10808801",2021-06-23,2021-10-02,102,0
"10808805",2021-06-23,2021-10-02,102,0
"10931479",2021-07-13,2021-10-26,106,0
"10933321",2020-12-31,2021-10-22,296,0
"10933324",2020-12-31,2021-10-21,295,0
"10933332",2020-12-31,2021-10-22,296,0
"10933334",2020-12-31,2021-10-21,295,0
"10933343",2020-12-31,2021-10-22,296,0
"10933344",2020-12-31,2021-10-26,300,0
"10933345",2020-12-31,2021-10-21,295,0
"10933349",2021-02-26,2021-10-27,244,0
"10933351",2020-12-31,2021-10-22,296,0
"10933352",2020-12-31,2021-10-22,296,0
"10944386",2021-06-25,2021-10-13,111,0
"10951006",2021-06-21,2021-10-05,107,0
"11007911",2021-07-13,2021-10-26,106,0
"11007937",2021-07-13,2021-10-26,106,0
"20012617",2021-06-20,2021-08-02,44,0
"20012624",2021-06-25,2021-10-13,111,0
"20054489",2020-12-31,2021-10-26,300,0
"20054494",2020-12-31,2021-10-22,296,0
"20054497",2020-12-31,2021-10-26,300,0
"20054501",2020-12-31,2021-10-26,300,0
"20054506",2020-12-31,2021-10-22,296,0
"20054507",2020-12-31,2021-10-22,296,0
"20054509",2020-12-31,2021-10-27,301,0
"20054510",2020-12-31,2021-10-22,296,0
"20054512",2020-12-31,2021-10-21,295,0
"20054516",2020-12-31,2021-10-22,296,0
"20054518",2020-12-31,2021-10-27,301,0
"20151803",2021-05-19,2021-09-07,112,0
"20151806",2021-05-19,2021-10-07,142,0
"20201001A",2020-10-01,2021-10-01,366,0
"20539413",2020-12-31,2021-10-21,295,0
"20539817",2021-07-22,2021-09-15,56,0
"20606618",2021-06-23,2021-10-02,102,0
"20733156",2021-06-23,2021-10-07,107,0
"20733159",2021-06-23,2021-10-12,112,0
"20733169",2021-06-23,2021-10-07,102,5
"20739661",2021-06-22,2021-10-04,105,0
"20739662",2021-06-22,2021-10-03,104,0
"20739664",2021-06-22,2021-10-04,105,0
"20739665",2021-06-22,2021-10-04,105,0
"20739666",2021-06-22,2021-10-11,112,0
"20739670",2021-06-24,2021-10-06,105,0
"20739679",2021-06-22,2021-10-04,105,0
"20745666",2021-06-20,2021-10-01,104,0
"20745674",2021-06-20,2021-10-01,104,0
"20745675",2021-01-01,2021-10-14,287,0
"20820418",2021-05-28,2021-10-06,132,0
"20860456",2021-05-19,2021-09-07,112,0
"20860458",2021-05-19,2021-09-07,112,0
"20941691",2021-06-24,2021-10-11,110,0
"20941693",2021-06-21,2021-10-02,104,0
"20941696",2021-06-21,2021-10-02,104,0
"20941701",2021-06-24,2021-10-04,103,0
"20941702",2021-06-25,2021-10-13,111,0
"21080890",2021-06-23,2021-10-01,101,0
"Clackamas.Temperatures.USGS.202",2021-06-15,2021-10-01,109,0
"Clackamas.Temperatures.USGS (2)",2021-06-15,2021-10-01,109,0
"Clackamas.Temperatures.USGS (3)",2021-06-15,2021-10-01,107,2
"Clackamas.Temperatures.USGS (4)",2021-06-15,2021-10-01,109,0
