ModelName,VIFCutoff,CorrCutoff,NumVariables,AdjRSquared,RSquared,FStatistic,F_pValue,DirectionMismatches,SignificantVars,Variables
VIF15_Corr0.8,15,0.8,7,0.6367135547930147,0.672530528264126,18.776866471048052,2.342673692450526e-13,0,4,"SLOPE, h2oLakesPe, h2oHiCascP, h2oWetland, Shrub21, h2oKm2, BurnRCA"
VIF20_Corr0.8,20,0.8,7,0.6367135547930145,0.672530528264126,18.776866471048052,2.342673692450526e-13,0,4,"SLOPE, h2oLakesPe, h2oHiCascP, h2oWetland, Shrub21, h2oKm2, BurnRCA"
noSolarModel2,20,0.6,6,0.6330368133365853,0.6640477868574374,21.41331636721847,1.0552646953611072e-13,0,5,"SLOPE, h2oLakesPe, h2oHiCascP, h2oWetland, Shrub21, BurnRCA"
VIF15_Corr0.6,15,0.6,6,0.6330368133365853,0.6640477868574374,21.41331636721847,1.0552646953611072e-13,0,5,"SLOPE, h2oLakesPe, h2oHiCascP, h2oWetland, Shrub21, BurnRCA"
VIF15_Corr0.7,15,0.7,6,0.6330368133365853,0.6640477868574374,21.41331636721847,1.0552646953611072e-13,0,5,"SLOPE, h2oLakesPe, h2oHiCascP, h2oWetland, Shrub21, BurnRCA"
VIF20_Corr0.6,20,0.6,6,0.6330368133365853,0.6640477868574374,21.41331636721847,1.0552646953611072e-13,0,5,"SLOPE, h2oLakesPe, h2oHiCascP, h2oWetland, Shrub21, BurnRCA"
VIF20_Corr0.7,20,0.7,6,0.6330368133365853,0.6640477868574374,21.41331636721847,1.0552646953611072e-13,0,5,"SLOPE, h2oLakesPe, h2oHiCascP, h2oWetland, Shrub21, BurnRCA"
VIF10_Corr0.7,10,0.7,3,0.5949584325697975,0.6120728649964258,35.763550302965584,5.466710537692099e-14,0,2,"SLOPE, h2oHiCascP, BurnRCA"
VIF10_Corr0.8,10,0.8,3,0.5949584325697975,0.6120728649964258,35.763550302965584,5.466710537692099e-14,0,2,"SLOPE, h2oHiCascP, BurnRCA"
VIF10_Corr0.6,10,0.6,3,0.5949584325697974,0.6120728649964258,35.763550302965584,5.466710537692099e-14,0,2,"SLOPE, h2oHiCascP, BurnRCA"
