"","model","AIC","AICc","pseudo_r2","tailup_prop","taildown_prop","euclid_prop","nugget_prop"
"1","L0J",-168.110698317072,-167.201607407981,0.411410054696552,0.426178484115374,0,0.147148489899954,0.0152629712881201
"2","E0J",-168.110681356928,-167.201590447838,0.413146898756453,0.42282168024391,0,0.148249442549414,0.0157819784502224
"3","M0J",-168.10234482121,-167.193253912119,0.411487847292078,0.425622388135971,0,0.147797085657611,0.0150926789143405
"4","L00",-166.310801809791,-165.95786063332,0.414602912580026,0.437136463327168,0,0,0.148260624092805
"5","M00",-166.262582708214,-165.909641531744,0.415222343140832,0.435580280692839,0,0,0.149197376166329
"6","MMG",-166.04314127022,-164.29314127022,0.220918089340773,0.0769042296836006,0.0341167281224896,0.664479193555212,0.00358175929792481
"7","E0G",-164.772290869019,-163.863199959928,0.198178553812933,0.0527285185329669,0,0.725837109284224,0.0232558183698759
"8","E0C",-164.684262861004,-163.775171951913,0.194870306184971,0.0262226704834049,0,0.767713592679616,0.0111934306520085
"9","L0G",-164.625119326279,-163.716028417188,0.208645986326727,0.0465650001427658,0,0.724078399263614,0.0207106142668934
"10","ELJ",-164.196752641354,-162.446752641354,0.346974828516584,0.407961301768263,0.0796684277676802,0.149599993821551,0.0157954481259221
"11","MLJ",-164.180582842704,-162.430582842704,0.335434369822481,0.119745015433232,0.497375758899371,0.0425942576530261,0.00485059819189025
"12","LLJ",-164.154806690793,-162.404806690793,0.316677108849379,0.393428707631806,0.131266278867427,0.142980233504618,0.0156476711467702
"13","MMJ",-164.115384519075,-162.365384519075,0.413157170145621,0.420947331999774,0.0293978047334114,0.120815881516402,0.0156818116047921
"14","MEJ",-164.106655062287,-162.356655062287,0.410812746281296,0.428292450031696,9.77025340152807e-05,0.145219839753965,0.0155772613990283
"15","EMJ",-164.106294830505,-162.356294830505,0.412407687662024,0.424484417254298,0.00817699068966785,0.139205168079242,0.0157257363147686
"16","LMJ",-164.092725679308,-162.342725679308,0.411381794601274,0.426534156538346,0.0342761060469741,0.111793581365824,0.0160143614475819
"17","M0G",-164.031809322099,-163.122718413008,0.220403376204336,0.000205320156258506,0,0.779326422065682,6.48815737235327e-05
"18","EEJ",-163.966082419371,-162.216082419371,0.346530491097247,0.382855382990329,0.108193286375646,0.147419372680754,0.0150014668560234
"19","LEJ",-163.960154827614,-162.210154827614,0.347145274674052,0.388118408465788,0.10209182179727,0.148238473937529,0.0144060211253614
"20","L0C",-163.72386273083,-162.814771821739,0.206159150268227,0.293592162678,0,0.379048048156776,0.121200638896998
"21","ML0",-162.356987315391,-161.4478964063,0.361772577033014,0.304024386180289,0.224102329716943,0,0.110100707069753
"22","LL0",-162.330990798296,-161.421899889205,0.375765727663498,0.444170197477587,0.0277094867309712,0,0.152354588127944
"23","MLG",-162.318010177147,-160.568010177147,0.213604259756503,0.000578923477282042,0.000163748186879428,0.78555203328114,0.000101035298194805
"24","MM0",-162.310299449757,-161.401208540666,0.415199409268287,0.435749366152151,0.000116007381231037,0,0.148935217198331
"25","M0C",-162.308447772677,-161.399356863586,0.414330475924993,0.437740197850612,0,3.19663411058775e-06,0.147926129590284
"26","EE0",-162.303099219391,-161.3940083103,0.412685758819235,0.433229435042861,0.00793260480052822,0,0.146152201337376
"27","LE0",-162.3014999195,-161.392409010409,0.413923643252872,0.426974067284618,0.0152327858880717,0,0.143869503574438
"28","LM0",-162.300248086974,-161.391157177883,0.403654568876606,0.300552321235318,0.19461504239947,0,0.101178067488606
"29","EM0",-162.299318548081,-161.39022763899,0.414560487748704,0.437178916026763,2.60087771440614e-09,0,0.148260593623656
"30","EL0",-162.161832206977,-161.252741297886,0.2931821089738,0.41209242505702,0.135048243667665,0,0.159677222301515
"31","ME0",-162.134613238664,-161.225522329573,0.35178726198712,0.000249257311814705,0.647877767829112,0,8.57128719535775e-05
"32","EEG",-160.75861034907,-159.00861034907,0.204844117365947,0.0460239688513147,9.5909884897666e-06,0.728717741169709,0.0204045816245401
"33","LLG",-160.706498039565,-158.956498039565,0.199018388258376,0.0354870501596139,6.13578187499032e-05,0.749443616169654,0.0159895875936057
"34","EMG",-160.70324543827,-158.95324543827,0.210873359463938,0.0150754405341324,8.41585800658285e-05,0.767338251473743,0.00662878994812089
"35","LMG",-160.702922461264,-158.952922461264,0.196825962028042,0.0432234948890199,0.000457574794126808,0.740679995579884,0.0188129727089279
"36","MMC",-160.69813983268,-158.94813983268,0.237858001757478,0.000205383869439353,1.58629311211069e-05,0.761843559445858,7.71919961031326e-05
"37","EEC",-160.685035327846,-158.935035327846,0.204662419424369,0.0116328055148689,2.17164984835275e-05,0.778257974323595,0.00542508423868409
"38","ELG",-160.669129130655,-158.919129130655,0.206501259349316,0.0712915299317124,0.00191278628265423,0.686780285370236,0.0335141390660812
"39","LEG",-160.615854737682,-158.865854737682,0.209731941790801,0.0115192648818208,4.30670173104329e-07,0.773778880182919,0.00496948247428664
"40","ELC",-160.481816890787,-158.731816890787,0.192010401140311,0.0569703559564181,0.0020750554526324,0.725738657096101,0.0232055303545375
"41","LEC",-160.476091177075,-158.726091177075,0.197503742386157,0.0739788656572562,2.99025601940506e-06,0.69255316066978,0.0359612410307877
"42","MEG",-160.188199230308,-158.438199230308,0.229367803995833,0.00022405703781188,3.8507996923878e-09,0.770317551335089,9.05837804665167e-05
"43","LLC",-160.107371426493,-158.357371426493,0.216798562769217,0.0942617797883172,0.00240394179971824,0.645172469297507,0.0413632463452408
"44","LMC",-160.046359617888,-158.296359617888,0.232011615096606,0.00907536749924645,0.000290478541855811,0.754990136703494,0.00363240215879802
"45","EMC",-159.730122572088,-157.980122572088,0.2374267369196,0.288163655143211,0.00492505010993652,0.364774878650328,0.104709679176924
"46","MLC",-158.28782172993,-156.53782172993,0.337622209187954,0.37739661002602,0.144719549854399,2.78708020504549e-06,0.140258843851422
"47","MEC",-158.278290523249,-156.528290523249,0.40533983450223,0.444512680981586,0.00367604018310968,3.64169124472156e-10,0.146471443968906
"48","Simple - NO Spatial",-133.01982685625,-132.962683999107,0.642057639585754,0,0,0,0.357942360414246
