"variable","correlation","p_value","abs_correlation","significance"
"h2oHiCascP",-0.778181694982483,8.88178419700125e-16,0.778181694982483,"***"
"BFI",-0.772407477053438,1.77635683940025e-15,0.772407477053438,"***"
"Elev",-0.688868879465948,2.24975593710042e-11,0.688868879465948,"***"
"h2oDevelop",0.678782164114513,5.65063551505318e-11,0.678782164114513,"***"
"h2oVegHt",-0.658637961090696,3.20242055096287e-10,0.658637961090696,"***"
"h2oAgricul",0.649228091817847,6.88983980978719e-10,0.649228091817847,"***"
"AgricultRC",0.61451324597154,9.3681624679931e-09,0.61451324597154,"***"
"VegHeight_",-0.59555205544193,3.42472006309436e-08,0.59555205544193,"***"
"HiCascRCA",-0.593130910075696,4.01706659047818e-08,0.593130910075696,"***"
"VegCover",-0.578297367835903,1.03807622497953e-07,0.578297367835903,"***"
"DevelopRCA",0.570114282696704,1.71821203709399e-07,0.570114282696704,"***"
"WetPrecip",-0.498890392971807,8.18056891827013e-06,0.498890392971807,"***"
"Precip_mm",-0.489112958199965,1.30258793016313e-05,0.489112958199965,"***"
"h2oVegCov",-0.485581291041648,1.53557211033384e-05,0.485581291041648,"***"
"HiCascBuf",-0.479494619289924,2.03046925522088e-05,0.479494619289924,"***"
"AgBuf",0.478738148902292,2.10142876393427e-05,0.478738148902292,"***"
"DevelopBuf",0.450604081321175,7.1301831245929e-05,0.450604081321175,"***"
"SumPrecip",0.434420432444973,0.000137385242006571,0.434420432444973,"***"
"Forest21",-0.407337725017476,0.000383455318689663,0.407337725017476,"***"
"MeanAirJJA",0.389360609697108,0.000723621948811592,0.389360609697108,"***"
"VegHtBuf",-0.37778599806932,0.00106915653489037,0.37778599806932,"**"
"LakesBuf",0.374007564010578,0.00121076494298666,0.374007564010578,"**"
"LakesRCA",0.347341376403927,0.00279546247357088,0.347341376403927,"**"
"VegCovBuf",-0.28992056183509,0.0134996454098366,0.28992056183509,"*"
"SLOPE",-0.282056445785588,0.0163772428896105,0.282056445785588,"*"
"h2oBurnPer",-0.243523061430162,0.0392705045564825,0.243523061430162,"*"
"h2oWetland",0.235536799113805,0.0464000797600321,0.235536799113805,"*"
"WetlandsRC",0.211577958421179,0.0744016085094747,0.211577958421179,""
"MeanMaxAir",0.205342211515875,0.0835617236354473,0.205342211515875,""
"Solar",0.203052134577163,0.0871419089793795,0.203052134577163,""
"h2oLakesPe",-0.15386186555195,0.19690788011752,0.15386186555195,""
"WetlandBuf",0.140769789496879,0.238218991306451,0.140769789496879,""
"BurnRCA",-0.0832030255745458,0.487148520709417,0.0832030255745458,""
"MaxAir_C",-0.0722533132070505,0.54640965787727,0.0722533132070505,""
"BurnBuf",-0.0421426308686388,0.725220838569394,0.0421426308686388,""
"RoadsRCA",-0.0357487458845478,0.765608060072257,0.0357487458845478,""
"h2oRdDens",-0.0252841959836813,0.833025886034055,0.0252841959836813,""
"Shrub21",0.0176732144827707,0.882856468802896,0.0176732144827707,""
"RoadsBuf",-0.00920332067433297,0.938840223831561,0.00920332067433297,""
"h2oKm2",-0.00440560509090767,0.970701315390392,0.00440560509090767,""
